filename,numAgents,numJobs,MZtardiness,MZisPTACondorcet,MZisParetoOptimal,MZgini,MZRuntime,CLtardiness,CPisPTACondorcet,isParetoOptimal,gini,runtime,,,,,,,,,,,,,,,,,,
01_realistic5J5A.dzn,5,5,465,TRUE,TRUE,0.5565217,3.155518569,465,TRUE,TRUE,0.5565217,0,,,,,,,,,,,,,,,,,,
02_realistic5J5A.dzn,5,5,497,FALSE,TRUE,0.3510204,1.877764307,503,TRUE,TRUE,0.42020202,0,,,,,,,,,,,,,,,,,,
03_realistic5J5A.dzn,5,5,693,FALSE,TRUE,0.42627734,1.910232367,751,TRUE,TRUE,0.2027027,0,,,,,,,,,,,,,,,,,,
04_realistic5J5A.dzn,5,5,640,FALSE,TRUE,0.25079364,2.559124982,680,TRUE,TRUE,0.32296294,0,,,,,,,,,,,,,,,,,,
05_realistic5J5A.dzn,5,5,731,FALSE,TRUE,0.25833333,2.109152942,779,FALSE,TRUE,0.24675328,0,,,,,,,,,,,,,,,,,,
06_realistic5J5A.dzn,5,5,550,FALSE,TRUE,0.35185188,1.980449312,629,FALSE,TRUE,0.17560977,0,,,,,,,,,,,,,,,,,,
07_realistic5J5A.dzn,5,5,621,FALSE,TRUE,0.34796745,1.955671413,655,FALSE,TRUE,0.23749995,0,,,,,,,,,,,,,,,,,,
08_realistic5J5A.dzn,5,5,575,TRUE,TRUE,0.38947362,2.482342307,575,TRUE,TRUE,0.38947362,0,,,,"MiniZinc, with realistic similarity processing times",,,,,,,,"PTA Copeland, with realistic similarity processing times",,,,,,
09_realistic5J5A.dzn,5,5,711,FALSE,TRUE,0.3574468,1.70959116,756,FALSE,TRUE,0.28533334,0,,,,numAgents,numJobs,%Pareto ,%Condorcet,Avg. Gini,Avg. Tardiness,Avg.Runtime,,numAgents,numJobs,%Pareto ,%Condorcet,Avg. Gini,Avg. Tardiness,CL Tardiness % more than MZ
10_realistic5J5A.dzn,5,5,556,FALSE,TRUE,0.21454543,1.731742239,652,FALSE,TRUE,0.14573646,0,,,,5,5,1,0.2,0.350423159,603.9,2.14715896,,5,5,1,0.5,0.298279578,644.5,6.722967379
11_realistic5J10A.dzn,10,5,1395,FALSE,TRUE,0.18296301,1.794190486,1455,FALSE,TRUE,0.22797203,0,,,,10,5,1,0.1,0.250358255,1403.1,1.870970632,,10,5,1,0.7,0.247342307,1473.6,5.024588411
12_realistic5J10A.dzn,10,5,1394,TRUE,TRUE,0.32608694,2.035278006,1394,TRUE,TRUE,0.32608694,0,,,,5,10,1,0,0.185172795,2473.8,7.361523103,,5,10,1,0,0.151952798,2643.5,6.859891665
13_realistic5J10A.dzn,10,5,1350,FALSE,TRUE,0.33969468,1.939412086,1486,TRUE,TRUE,0.3042553,0,,,,10,10,1,0,0.143720681,6123.9,32.58934527,,10,10,1,0.1,0.128465706,6372.6,4.06113751
14_realistic5J10A.dzn,10,5,1180,FALSE,TRUE,0.36315787,1.810399219,1212,TRUE,TRUE,0.29661018,0,,,,Totaal,,1,0.075,0.232418723,2651.175,10.99224949,,Totaal,,1,0.325,0.206510097,2783.55,4.993069111
15_realistic5J10A.dzn,10,5,1479,FALSE,TRUE,0.32638884,1.878280458,1743,TRUE,TRUE,0.20352936,0,,,,,,,,,,,,,,,,,,
16_realistic5J10A.dzn,10,5,1480,FALSE,TRUE,0.18965513,1.82565796,1486,TRUE,TRUE,0.32328767,0,,,,,,,,,,,,,,,,,,
17_realistic5J10A.dzn,10,5,1253,FALSE,TRUE,0.16585362,1.913302465,1256,FALSE,TRUE,0.2596774,0,,,,,,,,,,,,,,,,,,
18_realistic5J10A.dzn,10,5,1456,FALSE,TRUE,0.24184388,1.840925764,1461,FALSE,TRUE,0.15454543,0,,,,,,,,,,,,,,,,,,
19_realistic5J10A.dzn,10,5,1589,FALSE,TRUE,0.17290312,1.844573937,1714,TRUE,TRUE,0.21124256,0,,,,,,,,,,,,,,,,,,
20_realistic5J10A.dzn,10,5,1455,FALSE,TRUE,0.19503546,1.82768594,1529,TRUE,TRUE,0.1662162,0,,,,,,,,,,,,,,,,,,
21_realistic10J5A.dzn,5,10,2721,FALSE,TRUE,0.15616941,9.715329991,2943,FALSE,TRUE,0.17815703,0,,,,,,,,,,,,,,,,,,
22_realistic10J5A.dzn,5,10,2698,FALSE,TRUE,0.23687154,11.48850742,2839,FALSE,TRUE,0.18233216,0,,,,,,,,,,,,,,,,,,
23_realistic10J5A.dzn,5,10,2246,FALSE,TRUE,0.18303573,3.233492131,2347,FALSE,TRUE,0.14561027,0,,,,,,,,,,,,,,,,,,
24_realistic10J5A.dzn,5,10,2523,FALSE,TRUE,0.13545817,8.195590702,2832,FALSE,TRUE,0.1453901,0,,,,,,,,,,,,,,,,,,
25_realistic10J5A.dzn,5,10,1821,FALSE,TRUE,0.16308534,3.293960729,1932,FALSE,TRUE,0.21979165,0,,,,,,,,,,,,,,,,,,
26_realistic10J5A.dzn,5,10,2035,FALSE,TRUE,0.2212345,3.264365294,2238,FALSE,TRUE,0.07982063,0,,,,,,,,,,,,,,,,,,
27_realistic10J5A.dzn,5,10,2470,FALSE,TRUE,0.13089436,6.105025243,2740,FALSE,TRUE,0.07326007,0,,,,,,,,,,,,,,,,,,
28_realistic10J5A.dzn,5,10,2449,FALSE,TRUE,0.22540987,8.740275535,2487,FALSE,TRUE,0.15322578,0,,,,,,,,,,,,,,,,,,
29_realistic10J5A.dzn,5,10,2681,FALSE,TRUE,0.12209737,7.965075785,2769,FALSE,TRUE,0.1328494,0,,,,,,,,,,,,,,,,,,
30_realistic10J5A.dzn,5,10,3094,FALSE,TRUE,0.27747166,11.61360819,3308,FALSE,TRUE,0.20909089,0,,,,,,,,,,,,,,,,,,
31_realistic10J10A.dzn,10,10,5966,FALSE,TRUE,0.17364866,38.43649321,6160,FALSE,TRUE,0.13262641,0,,,,,,,,,,,,,,,,,,
32_realistic10J10A.dzn,10,10,5264,FALSE,TRUE,0.12643677,12.98184522,5417,FALSE,TRUE,0.14275092,0,,,,,,,,,,,,,,,,,,
33_realistic10J10A.dzn,10,10,6839,FALSE,TRUE,0.08674514,44.43702824,6955,FALSE,TRUE,0.1072464,0,,,,,,,,,,,,,,,,,,
34_realistic10J10A.dzn,10,10,5691,FALSE,TRUE,0.1276595,19.41122861,5870,TRUE,TRUE,0.15060234,0,,,,,,,,,,,,,,,,,,
35_realistic10J10A.dzn,10,10,6257,FALSE,TRUE,0.13483864,24.65576154,6401,FALSE,TRUE,0.10598421,0,,,,,,,,,,,,,,,,,,
36_realistic10J10A.dzn,10,10,5883,FALSE,TRUE,0.22431499,28.46342671,6260,FALSE,TRUE,0.14959872,0,,,,,,,,,,,,,,,,,,
37_realistic10J10A.dzn,10,10,5489,FALSE,TRUE,0.09191179,16.41109419,5923,FALSE,TRUE,0.101358175,0,,,,,,,,,,,,,,,,,,
38_realistic10J10A.dzn,10,10,6445,FALSE,TRUE,0.16384977,66.91439896,6843,FALSE,TRUE,0.1193549,0,,,,,,,,,,,,,,,,,,
39_realistic10J10A.dzn,10,10,6598,FALSE,TRUE,0.15137613,32.33034769,6804,FALSE,TRUE,0.15414202,0,,,,,,,,,,,,,,,,,,
40_realistic10J10A.dzn,10,10,6807,FALSE,TRUE,0.15642542,41.85182837,7093,FALSE,TRUE,0.12099296,0,,,,,,,,,,,,,,,,,,
